MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6AA,395,,
6AA,396,,
5A6A,395,,
5A6AA,396,,
6B,58,,
6C~4C,,,
3C,61,,
6C,440,,
Throw,63,,
gAT,273,0,
AT,272,0,
AT(whiff),271,0,
22A,,,
22B,,,
22C,,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,460,,
236B,462,,
236C,413,,
j.236A,,,
j.236B,,,
j.236C,,,
214A,115,,
214B,116,,
214C,117,,
j.214A,120,,
j.214B,121,,
j.214C,122,,
623A,110,,
623B,111,,
623C,112,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,81,0,
421B,82,,
421C,83,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,,,
AD,150,,
AAD,,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,65,,
Low SC,66,,
Jump SC,67,,
dash,55,0,
backdash,56,0,
airdash,43,0,
airbackdash,44,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
